Day,Time,Teacher,Location,Payment Method,Class Type,Status,Web,Payment Ref #,,
27/11/2019,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
25/11/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
21/11/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
20/11/2019,Wednesday,7:15 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),BYL Hot Power Flow,Signed in,No,626134,
19/11/2019,Tuesday,6:00 PM,Almania,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Signed in,No,626134,
18/11/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
16/11/2019,Saturday,3:45 PM,Lizzie,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Yin Yang with Kirtan,Signed in,No,626134,
14/11/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
13/11/2019,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
11/11/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
08/11/2019,Friday,7:15 PM,Annalisa,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
07/11/2019,Thursday,7:00 PM,Aleksei,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
06/11/2019,Wednesday,5:30 PM,Naomi,BYL London Bridge,Annual Unlimited £1099 (Paid in Advance),BYL Express (60),Signed in,No,626134,
05/11/2019,Tuesday,6:00 PM,Ilkka,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Bikram Yoga,Absent,No,626134,
04/11/2019,Monday,5:15 PM,Chloe,BYL Canary Wharf,Annual Unlimited £1099 (Paid in Advance),Hot Jivamukti,Signed in,No,626134,
