Date,Day,Time,Teacher,Location,Payment Method,Class Type,Status,Web,Payment Ref #
14/05/2018,Monday,5:15ÊPM,Elizabeth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
12/05/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
10/05/2018,Thursday,6:00ÊPM,Hassan,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
08/05/2018,Tuesday,6:00ÊPM,Almania,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
02/05/2018,Wednesday,5:15ÊPM,Samantha,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
29/04/2018,Sunday,2:00ÊPM,Ky,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,Advanced Class 90 (No Intro Students),Signed in,No,371928
28/04/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
26/04/2018,Thursday,6:00ÊPM,Kirsty,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
26/04/2018,Thursday,4:30ÊPM,Andy,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Vinyasa Flow (60),Signed in,No,371928
21/04/2018,Saturday,10:00ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
21/04/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
14/04/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
11/04/2018,Wednesday,5:15ÊPM,Samantha,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
09/04/2018,Monday,5:15ÊPM,Beth,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Hot Jivamukti,Signed in,No,371928
07/04/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
05/04/2018,Thursday,6:00ÊPM,Hassan,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
04/04/2018,Wednesday,5:15ÊPM,Samantha,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
02/04/2018,Monday,10:00ÊAM,Lottie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
24/03/2018,Saturday,8:15ÊAM,Justine,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Inferno Pilates (60),Signed in,No,371928
20/03/2018,Tuesday,6:00ÊPM,Almania,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
19/03/2018,Monday,5:30ÊPM,Bridgett Ane,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
15/03/2018,Thursday,6:00ÊPM,Lizzie,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Music Beats,Signed in,No,371928
14/03/2018,Wednesday,5:15ÊPM,Samantha,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
13/03/2018,Tuesday,6:00ÊPM,Almania,BYL Canary Wharf,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
12/03/2018,Monday,5:30ÊPM,Bridgett Ane,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
09/03/2018,Friday,5:00ÊPM,Marta,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
07/03/2018,Wednesday,5:30ÊPM,Naomi,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
01/03/2018,Thursday,5:00ÊPM,Almania,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
26/02/2018,Monday,5:30ÊPM,Bridgett Ane,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
23/02/2018,Friday,5:00ÊPM,Marta,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
21/02/2018,Wednesday,5:30ÊPM,Naomi,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
20/02/2018,Tuesday,6:00ÊPM,Conny,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
19/02/2018,Monday,5:30ÊPM,Bridgett Ane,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,BYL Express (60),Signed in,No,371928
16/02/2018,Friday,5:00ÊPM,Marta,BYL London Bridge,A7 HYS Conversion 365/Annual Upfront PEAK,Bikram Yoga,Signed in,No,371928
21/05/2017,Sunday,8:00ÊAM,Inna,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
19/05/2017,Friday,10:00ÊAM,Fiona,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
17/05/2017,Wednesday,10:00ÊAM,Sangeeta,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
16/05/2017,Tuesday,12:00ÊPM,Justine,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
15/05/2017,Monday,10:00ÊAM,Lottie,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
11/05/2017,Thursday,12:00ÊPM,Samantha,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
10/05/2017,Wednesday,10:00ÊAM,Sangeeta,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
09/05/2017,Tuesday,12:00ÊPM,Justine,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
08/05/2017,Monday,10:00ÊAM,Sangeeta,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
06/05/2017,Saturday,8:00ÊAM,Justine,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
04/05/2017,Thursday,12:00ÊPM,Samantha,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
03/05/2017,Wednesday,10:00ÊAM,Sangeeta,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
02/05/2017,Tuesday,12:00ÊPM,Hassan,BYL Canary Wharf,*20 Day Intro Offer £40,Bikram Yoga,Signed in,No,239228
